id,car_model,fuel_type,transmission,price,odo,year,khv,vdk,blg
214,Toyota Corolla Fielder,бензин,вариатор,920000,155000.0,2011,1,0,0
215,Toyota Prius Alpha,гибрид,вариатор,1700000,151000.0,2015,1,0,0
216,Toyota Corolla Spacio,бензин,АКПП,500000,10000.0,2001,1,0,0
217,Toyota Corolla Fielder,бензин,вариатор,800000,240000.0,2011,1,0,0
218,Toyota Land Cruiser Prado,дизель,АКПП,5000000,56000.0,2018,1,0,0
219,Toyota Sai,гибрид,вариатор,1500000,170000.0,2012,1,0,0
220,Toyota Land Cruiser,дизель,АКПП,3797000,235000.0,2012,1,0,0
221,Toyota Vellfire,бензин,вариатор,3000000,1.0,2012,1,0,0
222,Toyota Harrier,бензин,вариатор,3500000,75000.0,2021,1,0,0
223,Toyota Corolla,бензин,вариатор,1670000,87940.0,2020,1,0,0
224,Toyota Harrier,бензин,АКПП,1550000,215000.0,2005,1,0,0
225,Toyota Land Cruiser Prado,бензин,АКПП,2750000,205000.0,2010,1,0,0
226,Toyota C-HR,бензин,вариатор,1750000,35000.0,2018,1,0,0
227,Toyota Passo,бензин,вариатор,540000,143000.0,2014,1,0,0
228,Toyota Ractis,бензин,вариатор,490000,200000.0,2006,1,0,0
229,Toyota Wish,бензин,вариатор,420000,115000.0,2010,1,0,0
230,Toyota Vitz,бензин,вариатор,645000,146000.0,2016,1,0,0
231,Toyota Corolla Fielder,бензин,АКПП,590000,300000.0,2005,1,0,0
232,Toyota Corolla,бензин,механика,249941,540000.0,1999,1,0,0
233,Toyota Alphard,бензин,АКПП,1550000,316000.0,2003,1,0,0
234,Toyota Supra,бензин,автомат,1780000,147000.0,1986,1,0,0
235,Toyota Raize,бензин,вариатор,1700000,58000.0,2020,1,0,0
236,Toyota Corolla Fielder,гибрид,вариатор,1250000,141000.0,2018,1,0,0
237,Toyota RAV4,бензин,вариатор,4000000,58.0,2023,1,0,0
238,Toyota RAV4,бензин,вариатор,1400000,134000.0,2012,1,0,0
239,Toyota Corolla Spacio,бензин,АКПП,250000,280000.0,1999,1,0,0
240,Toyota Land Cruiser,дизель,автомат,4200000,170000.0,2015,1,0,0
241,Toyota Vitz,бензин,вариатор,500000,180000.0,2008,1,0,0
242,Toyota Vellfire,гибрид,вариатор,3999999,158.0,2019,1,0,0
243,Toyota Corolla Fielder,гибрид,вариатор,1050000,164000.0,2014,1,0,0
244,Toyota Corolla Fielder,бензин,вариатор,1520000,55000.0,2020,1,0,0
245,Toyota Hiace,дизель,АКПП,650000,375000.0,1990,1,0,0
246,Toyota Premio,бензин,АКПП,650000,200000.0,2002,1,0,0
247,Toyota Passo,бензин,вариатор,720000,62000.0,2016,1,0,0
248,Toyota Corolla,бензин,механика,75000,196000.0,1992,1,0,0
249,Toyota Aqua,гибрид,вариатор,1590000,81037.0,2017,1,0,0
250,Toyota Corolla Axio,бензин,вариатор,850000,255300.0,2015,1,0,0
251,Toyota Vitz,бензин,вариатор,910000,48000.0,2019,1,0,0
252,Toyota Corolla,бензин,робот,750000,,2008,1,0,0
253,Toyota Corona,бензин,АКПП,300000,310000.0,1996,1,0,0
254,Toyota Vitz,бензин,вариатор,700000,154675.0,2013,1,0,0
255,Toyota Alphard,гибрид,вариатор,5600000,,2018,1,0,0
256,Toyota Vista,бензин,АКПП,395000,249000.0,1997,1,0,0
257,Toyota Town Ace Noah,бензин,АКПП,670000,207400.0,1998,1,0,0
258,Toyota C-HR,гибрид,вариатор,2600000,30.0,2019,1,0,0
259,Toyota Crown,бензин,АКПП,900000,111111.0,1990,1,0,0
260,Toyota Corolla Fielder,бензин,вариатор,670000,218455.0,2008,1,0,0
261,Toyota Land Cruiser,дизель,АКПП,4500000,300000.0,1995,1,0,0
262,Toyota Camry,бензин,АКПП,1030000,234000.0,2006,1,0,0
263,Toyota Prius,гибрид,вариатор,1350000,130000.0,2011,1,0,0
264,Toyota Wish,бензин,вариатор,1360000,159865.0,2015,1,0,0
265,Toyota Raize,бензин,вариатор,1450000,111500.0,2021,1,0,0
266,Toyota Mark II,бензин,АКПП,140000,500000.0,1994,1,0,0
267,Toyota Land Cruiser Prado,бензин,АКПП,4500000,57737.0,2019,1,0,0
268,Toyota Aqua,гибрид,вариатор,500000,310000.0,2017,1,0,0
269,Toyota Prius,гибрид,вариатор,1550000,118000.0,2017,1,0,0
270,Toyota Prius,гибрид,вариатор,700000,248122.0,2009,1,0,0
271,Toyota Passo,бензин,АКПП,320000,,2008,1,0,0
272,Toyota Harrier,бензин,вариатор,2750000,61293.0,2017,1,0,0
273,Toyota Camry,гибрид,автомат,2050000,119930.0,2017,1,0,0
274,Toyota Wish,бензин,АКПП,670000,260000.0,2003,1,0,0
275,Toyota Land Cruiser,бензин,АКПП,1850000,280000.0,2000,1,0,0
276,Toyota Land Cruiser Prado,бензин,АКПП,1350000,360000.0,1999,1,0,0
277,Toyota Corolla Fielder,бензин,вариатор,1190000,29000.0,2020,1,0,0
278,Toyota Harrier,бензин,АКПП,1400000,170000.0,2003,1,0,0
279,Toyota Corolla Axio,бензин,вариатор,1190000,67000.0,2021,1,0,0
280,Toyota Land Cruiser,бензин,АКПП,2360000,188000.0,2003,1,0,0
281,Toyota Land Cruiser Prado,бензин,АКПП,2150000,263000.0,2005,1,0,0
282,Toyota Corsa,бензин,АКПП,269000,150000.0,1994,1,0,0
283,Toyota Prius Alpha,гибрид,вариатор,1050000,205000.0,2013,1,0,0
284,Toyota Town Ace,бензин,АКПП,656000,251916.0,2008,1,0,0
285,Toyota Corolla Fielder,бензин,вариатор,1350000,27500.0,2017,1,0,0
286,Toyota Camry Gracia,бензин,АКПП,190000,313000.0,1998,1,0,0
287,Toyota Vista,бензин,АКПП,380000,240000.0,1993,1,0,0
288,Toyota RAV4,бензин,АКПП,2350000,63000.0,2014,1,0,0
289,Toyota Land Cruiser Cygnus,бензин,АКПП,1795000,161000.0,2000,1,0,0
290,Toyota Corolla Fielder,бензин,вариатор,500000,285000.0,2006,1,0,0
291,Toyota Noah,бензин,вариатор,930000,302000.0,2007,1,0,0
292,Toyota Estima,бензин,АКПП,659000,235000.0,2001,1,0,0
293,Toyota Corolla Fielder,бензин,вариатор,1475000,63000.0,2018,1,0,0
294,Toyota Camry,бензин,АКПП,719000,175000.0,2006,1,0,0
295,Toyota Mark II,бензин,АКПП,560000,300000.0,1996,1,0,0
296,Toyota Prius,гибрид,вариатор,450000,183838.0,2008,1,0,0
297,Toyota Probox,гибрид,вариатор,1649000,27650.0,2019,1,0,0
298,Toyota Corona,бензин,АКПП,195000,223688.0,1992,1,0,0
299,Toyota Aqua,гибрид,вариатор,849999,125300.0,2017,1,0,0
300,Toyota Corolla,бензин,вариатор,2199000,63471.0,2019,1,0,0
301,Toyota Raum,бензин,АКПП,135000,176858.0,1998,1,0,0
302,Toyota Vitz,бензин,вариатор,849000,92273.0,2015,1,0,0
303,Toyota Aqua,гибрид,вариатор,820000,12300.0,2012,1,0,0
304,Toyota Crown,бензин,АКПП,650000,180000.0,1996,1,0,0
